# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data
# are obtained for potential use in a publication or presentation,
# GML should be informed at the outset of the nature of this work.
# If the GML data are essential to the work, or if an important
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Wed Apr  5 03:55:14 2023
#
# RECIPROCITY
#
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information
# necessary for other scientists to repeat the work and to run
# modified versions. Model availability includes collaborative
# support for new users of the models.
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
# The uncertainty in the global monthly mean is estimated using a
# a monte carlo technique that computes 200 globally-averaged time
# series, each time using a slightly different set of measurement
# records from the NOAA GML cooperative air sampling network.  The
# reported uncertainty is the mean of the standard deviations
# for each monthly mean using this technique.  Please see Conway et al.,
# 1994, JGR, vol. 99, no. D11. for a complete discussion.  Units are ppm.
#
# CO2 expressed as a mole fraction in dry air, micromol/mol, abbreviated as ppm
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also be changed for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1982,5,1982.375,342.36,0.06,340.82,0.03
1982,6,1982.458,341.49,0.03,340.72,0.03
1982,7,1982.542,339.75,0.08,340.61,0.03
1982,8,1982.625,338.11,0.10,340.40,0.03
1982,9,1982.708,338.16,0.07,340.54,0.03
1982,10,1982.792,339.62,0.05,340.97,0.03
1982,11,1982.875,340.95,0.06,341.27,0.03
1982,12,1982.958,341.77,0.06,341.54,0.03
1983,1,1983.042,342.37,0.05,341.71,0.03
1983,2,1983.125,342.74,0.07,341.70,0.03
1983,3,1983.208,343.03,0.07,341.70,0.03
1983,4,1983.292,343.51,0.05,341.94,0.03
1983,5,1983.375,343.84,0.09,342.30,0.04
1983,6,1983.458,343.50,0.08,342.71,0.04
1983,7,1983.542,342.14,0.14,342.90,0.04
1983,8,1983.625,340.63,0.15,342.86,0.04
1983,9,1983.708,340.54,0.07,342.96,0.05
1983,10,1983.792,341.75,0.11,343.15,0.05
1983,11,1983.875,342.82,0.12,343.18,0.05
1983,12,1983.958,343.49,0.11,343.26,0.05
1984,1,1984.042,344.32,0.06,343.66,0.06
1984,2,1984.125,344.82,0.05,343.82,0.06
1984,3,1984.208,344.96,0.07,343.60,0.06
1984,4,1984.292,345.19,0.12,343.56,0.06
1984,5,1984.375,345.33,0.10,343.78,0.07
1984,6,1984.458,344.57,0.05,343.80,0.07
1984,7,1984.542,343.20,0.10,344.01,0.07
1984,8,1984.625,342.21,0.15,344.50,0.07
1984,9,1984.708,342.13,0.13,344.57,0.08
1984,10,1984.792,342.99,0.12,344.37,0.08
1984,11,1984.875,344.16,0.13,344.46,0.08
1984,12,1984.958,345.00,0.11,344.72,0.08
1985,1,1985.042,345.36,0.10,344.66,0.08
1985,2,1985.125,345.81,0.10,344.79,0.09
1985,3,1985.208,346.65,0.12,345.32,0.09
1985,4,1985.292,346.94,0.12,345.34,0.09
1985,5,1985.375,346.78,0.10,345.21,0.09
1985,6,1985.458,346.27,0.11,345.49,0.09
1985,7,1985.542,344.93,0.13,345.76,0.08
1985,8,1985.625,343.42,0.13,345.73,0.08
1985,9,1985.708,343.37,0.09,345.82,0.08
1985,10,1985.792,344.65,0.06,346.04,0.08
1985,11,1985.875,345.79,0.08,346.12,0.08
1985,12,1985.958,346.54,0.08,346.25,0.08
1986,1,1986.042,347.11,0.10,346.43,0.07
1986,2,1986.125,347.34,0.12,346.35,0.07
1986,3,1986.208,347.71,0.14,346.39,0.07
1986,4,1986.292,348.22,0.15,346.61,0.07
1986,5,1986.375,348.32,0.13,346.76,0.07
1986,6,1986.458,347.76,0.09,346.99,0.07
1986,7,1986.542,346.30,0.15,347.14,0.07
1986,8,1986.625,344.92,0.12,347.22,0.07
1986,9,1986.708,344.86,0.09,347.26,0.07
1986,10,1986.792,346.04,0.14,347.41,0.07
1986,11,1986.875,347.30,0.16,347.63,0.08
1986,12,1986.958,347.76,0.12,347.46,0.08
1987,1,1987.042,348.00,0.11,347.23,0.08
1987,2,1987.125,348.55,0.12,347.45,0.08
1987,3,1987.208,349.27,0.10,347.86,0.08
1987,4,1987.292,349.96,0.12,348.27,0.08
1987,5,1987.375,350.23,0.15,348.66,0.09
1987,6,1987.458,349.47,0.12,348.80,0.09
1987,7,1987.542,347.89,0.15,348.87,0.09
1987,8,1987.625,346.65,0.17,349.03,0.09
1987,9,1987.708,346.69,0.11,349.13,0.09
1987,10,1987.792,347.96,0.12,349.34,0.09
1987,11,1987.875,349.24,0.13,349.57,0.09
1987,12,1987.958,350.19,0.12,349.87,0.09
1988,1,1988.042,350.91,0.10,350.14,0.08
1988,2,1988.125,351.47,0.08,350.37,0.08
1988,3,1988.208,351.85,0.10,350.39,0.08
1988,4,1988.292,352.30,0.12,350.52,0.07
1988,5,1988.375,352.46,0.12,350.83,0.07
1988,6,1988.458,351.76,0.10,351.07,0.07
1988,7,1988.542,350.28,0.13,351.26,0.06
1988,8,1988.625,349.09,0.14,351.55,0.06
1988,9,1988.708,349.27,0.10,351.79,0.06
1988,10,1988.792,350.44,0.08,351.85,0.06
1988,11,1988.875,351.61,0.07,351.97,0.06
1988,12,1988.958,352.46,0.08,352.16,0.06
1989,1,1989.042,352.99,0.08,352.19,0.06
1989,2,1989.125,353.45,0.09,352.33,0.06
1989,3,1989.208,354.00,0.10,352.57,0.06
1989,4,1989.292,354.38,0.09,352.60,0.06
1989,5,1989.375,354.19,0.10,352.51,0.06
1989,6,1989.458,353.26,0.09,352.57,0.06
1989,7,1989.542,351.56,0.12,352.58,0.06
1989,8,1989.625,350.21,0.14,352.69,0.06
1989,9,1989.708,350.56,0.09,353.09,0.06
1989,10,1989.792,351.85,0.10,353.27,0.06
1989,11,1989.875,353.03,0.10,353.38,0.06
1989,12,1989.958,353.90,0.09,353.58,0.07
1990,1,1990.042,354.45,0.13,353.67,0.07
1990,2,1990.125,354.87,0.15,353.81,0.07
1990,3,1990.208,355.19,0.12,353.76,0.07
1990,4,1990.292,355.50,0.09,353.73,0.07
1990,5,1990.375,355.39,0.08,353.74,0.07
1990,6,1990.458,354.30,0.09,353.65,0.07
1990,7,1990.542,352.70,0.10,353.79,0.06
1990,8,1990.625,351.60,0.12,354.10,0.06
1990,9,1990.708,351.80,0.08,354.31,0.06
1990,10,1990.792,353.18,0.08,354.59,0.06
1990,11,1990.875,354.44,0.11,354.69,0.06
1990,12,1990.958,355.18,0.07,354.75,0.06
1991,1,1991.042,355.75,0.08,354.96,0.06
1991,2,1991.125,356.18,0.08,355.09,0.06
1991,3,1991.208,356.69,0.08,355.25,0.06
1991,4,1991.292,357.20,0.10,355.45,0.06
1991,5,1991.375,357.10,0.10,355.47,0.06
1991,6,1991.458,356.17,0.08,355.56,0.06
1991,7,1991.542,354.54,0.12,355.66,0.06
1991,8,1991.625,353.03,0.14,355.53,0.06
1991,9,1991.708,352.90,0.09,355.43,0.06
1991,10,1991.792,354.01,0.10,355.41,0.06
1991,11,1991.875,355.16,0.11,355.38,0.06
1991,12,1991.958,355.95,0.11,355.49,0.06
1992,1,1992.042,356.53,0.08,355.71,0.06
1992,2,1992.125,356.90,0.09,355.78,0.06
1992,3,1992.208,357.27,0.09,355.79,0.06
1992,4,1992.292,357.76,0.09,355.97,0.06
1992,5,1992.375,357.83,0.10,356.20,0.06
1992,6,1992.458,356.87,0.08,356.28,0.07
1992,7,1992.542,355.18,0.12,356.33,0.07
1992,8,1992.625,353.68,0.11,356.23,0.07
1992,9,1992.708,353.59,0.14,356.15,0.07
1992,10,1992.792,354.81,0.10,356.22,0.07
1992,11,1992.875,355.99,0.09,356.21,0.07
1992,12,1992.958,356.75,0.10,356.28,0.07
1993,1,1993.042,357.21,0.10,356.37,0.07
1993,2,1993.125,357.56,0.10,356.40,0.07
1993,3,1993.208,357.96,0.10,356.51,0.07
1993,4,1993.292,358.42,0.10,356.66,0.07
1993,5,1993.375,358.38,0.14,356.73,0.07
1993,6,1993.458,357.35,0.11,356.69,0.07
1993,7,1993.542,355.73,0.15,356.75,0.07
1993,8,1993.625,354.44,0.15,356.91,0.07
1993,9,1993.708,354.47,0.08,357.05,0.07
1993,10,1993.792,355.71,0.09,357.19,0.07
1993,11,1993.875,356.95,0.09,357.29,0.07
1993,12,1993.958,357.86,0.11,357.49,0.07
1994,1,1994.042,358.48,0.11,357.62,0.07
1994,2,1994.125,359.02,0.11,357.86,0.07
1994,3,1994.208,359.36,0.09,357.91,0.07
1994,4,1994.292,359.71,0.09,357.93,0.07
1994,5,1994.375,359.74,0.13,358.07,0.07
1994,6,1994.458,358.81,0.10,358.11,0.07
1994,7,1994.542,357.28,0.09,358.27,0.07
1994,8,1994.625,356.05,0.11,358.56,0.07
1994,9,1994.708,356.01,0.08,358.67,0.07
1994,10,1994.792,357.26,0.09,358.80,0.06
1994,11,1994.875,358.69,0.11,359.03,0.06
1994,12,1994.958,359.55,0.12,359.16,0.06
1995,1,1995.042,360.15,0.09,359.29,0.05
1995,2,1995.125,360.63,0.10,359.53,0.05
1995,3,1995.208,361.09,0.09,359.71,0.05
1995,4,1995.292,361.55,0.08,359.85,0.05
1995,5,1995.375,361.47,0.09,359.84,0.05
1995,6,1995.458,360.61,0.08,359.92,0.05
1995,7,1995.542,359.00,0.08,360.00,0.05
1995,8,1995.625,357.73,0.10,360.21,0.05
1995,9,1995.708,358.06,0.08,360.65,0.05
1995,10,1995.792,359.43,0.08,360.90,0.04
1995,11,1995.875,360.77,0.06,361.04,0.04
1995,12,1995.958,361.65,0.06,361.20,0.04
1996,1,1996.042,362.14,0.06,361.22,0.04
1996,2,1996.125,362.50,0.09,361.32,0.04
1996,3,1996.208,362.82,0.10,361.40,0.04
1996,4,1996.292,363.14,0.09,361.42,0.04
1996,5,1996.375,363.29,0.08,361.68,0.04
1996,6,1996.458,362.88,0.06,362.23,0.04
1996,7,1996.542,361.57,0.07,362.61,0.04
1996,8,1996.625,360.07,0.09,362.58,0.04
1996,9,1996.708,359.70,0.09,362.31,0.04
1996,10,1996.792,360.67,0.07,362.15,0.04
1996,11,1996.875,361.78,0.07,362.09,0.05
1996,12,1996.958,362.63,0.06,362.19,0.05
1997,1,1997.042,363.28,0.06,362.34,0.05
1997,2,1997.125,363.65,0.09,362.46,0.05
1997,3,1997.208,364.03,0.10,362.62,0.05
1997,4,1997.292,364.51,0.11,362.81,0.05
1997,5,1997.375,364.51,0.10,362.94,0.05
1997,6,1997.458,363.60,0.08,362.97,0.05
1997,7,1997.542,361.93,0.11,362.96,0.05
1997,8,1997.625,360.41,0.11,362.90,0.05
1997,9,1997.708,360.41,0.06,363.01,0.05
1997,10,1997.792,361.94,0.06,363.42,0.05
1997,11,1997.875,363.61,0.08,363.89,0.05
1997,12,1997.958,364.68,0.09,364.22,0.05
1998,1,1998.042,365.19,0.08,364.26,0.05
1998,2,1998.125,365.46,0.10,364.30,0.04
1998,3,1998.208,365.93,0.11,364.53,0.04
1998,4,1998.292,366.58,0.08,364.90,0.04
1998,5,1998.375,366.86,0.08,365.32,0.04
1998,6,1998.458,366.27,0.07,365.67,0.04
1998,7,1998.542,364.84,0.09,365.88,0.04
1998,8,1998.625,363.79,0.09,366.28,0.05
1998,9,1998.708,364.04,0.06,366.62,0.05
1998,10,1998.792,365.34,0.08,366.79,0.05
1998,11,1998.875,366.60,0.07,366.85,0.06
1998,12,1998.958,367.47,0.07,366.97,0.06
1999,1,1999.042,368.12,0.11,367.19,0.06
1999,2,1999.125,368.52,0.15,367.37,0.06
1999,3,1999.208,368.91,0.13,367.53,0.07
1999,4,1999.292,369.30,0.11,367.65,0.07
1999,5,1999.375,369.21,0.11,367.70,0.07
1999,6,1999.458,368.36,0.09,367.79,0.07
1999,7,1999.542,366.69,0.12,367.74,0.07
1999,8,1999.625,365.33,0.14,367.78,0.07
1999,9,1999.708,365.44,0.10,367.99,0.07
1999,10,1999.792,366.75,0.09,368.18,0.07
1999,11,1999.875,368.05,0.08,368.28,0.07
1999,12,1999.958,368.88,0.09,368.36,0.07
2000,1,2000.042,369.41,0.12,368.49,0.07
2000,2,2000.125,369.68,0.14,368.54,0.07
2000,3,2000.208,370.00,0.14,368.60,0.07
2000,4,2000.292,370.37,0.13,368.69,0.06
2000,5,2000.375,370.25,0.10,368.73,0.06
2000,6,2000.458,369.31,0.06,368.78,0.06
2000,7,2000.542,367.91,0.11,369.05,0.06
2000,8,2000.625,366.75,0.12,369.26,0.06
2000,9,2000.708,366.70,0.09,369.24,0.06
2000,10,2000.792,367.92,0.08,369.31,0.06
2000,11,2000.875,369.29,0.10,369.45,0.06
2000,12,2000.958,370.12,0.10,369.55,0.06
2001,1,2001.042,370.68,0.10,369.78,0.06
2001,2,2001.125,371.17,0.12,370.02,0.06
2001,3,2001.208,371.59,0.12,370.17,0.06
2001,4,2001.292,371.90,0.08,370.22,0.05
2001,5,2001.375,371.80,0.06,370.28,0.05
2001,6,2001.458,370.85,0.05,370.32,0.05
2001,7,2001.542,369.46,0.10,370.58,0.05
2001,8,2001.625,368.32,0.10,370.80,0.05
2001,9,2001.708,368.36,0.07,370.89,0.04
2001,10,2001.792,369.72,0.08,371.11,0.04
2001,11,2001.875,371.05,0.09,371.25,0.04
2001,12,2001.958,371.97,0.11,371.45,0.04
2002,1,2002.042,372.53,0.08,371.58,0.05
2002,2,2002.125,372.92,0.08,371.66,0.05
2002,3,2002.208,373.38,0.09,371.86,0.05
2002,4,2002.292,373.72,0.11,371.95,0.05
2002,5,2002.375,373.70,0.08,372.13,0.04
2002,6,2002.458,372.84,0.05,372.30,0.04
2002,7,2002.542,371.41,0.07,372.55,0.04
2002,8,2002.625,370.37,0.08,372.91,0.04
2002,9,2002.708,370.69,0.08,373.30,0.04
2002,10,2002.792,371.96,0.08,373.44,0.04
2002,11,2002.875,373.29,0.08,373.58,0.04
2002,12,2002.958,374.27,0.09,373.81,0.04
2003,1,2003.042,374.95,0.07,373.96,0.04
2003,2,2003.125,375.48,0.09,374.15,0.04
2003,3,2003.208,375.92,0.08,374.36,0.04
2003,4,2003.292,376.39,0.07,374.59,0.04
2003,5,2003.375,376.51,0.08,374.92,0.04
2003,6,2003.458,375.68,0.07,375.14,0.04
2003,7,2003.542,374.16,0.08,375.31,0.04
2003,8,2003.625,372.94,0.11,375.52,0.04
2003,9,2003.708,373.11,0.09,375.78,0.05
2003,10,2003.792,374.40,0.09,375.92,0.05
2003,11,2003.875,375.68,0.08,376.02,0.05
2003,12,2003.958,376.53,0.06,376.09,0.05
2004,1,2004.042,377.21,0.07,376.23,0.05
2004,2,2004.125,377.73,0.10,376.42,0.05
2004,3,2004.208,378.16,0.09,376.57,0.05
2004,4,2004.292,378.48,0.09,376.69,0.05
2004,5,2004.375,378.40,0.11,376.82,0.05
2004,6,2004.458,377.51,0.07,376.96,0.06
2004,7,2004.542,375.96,0.08,377.15,0.06
2004,8,2004.625,374.49,0.12,377.13,0.06
2004,9,2004.708,374.39,0.10,377.05,0.06
2004,10,2004.792,375.73,0.08,377.23,0.06
2004,11,2004.875,377.20,0.10,377.49,0.06
2004,12,2004.958,378.17,0.08,377.68,0.06
2005,1,2005.042,378.73,0.09,377.75,0.05
2005,2,2005.125,379.19,0.11,377.88,0.05
2005,3,2005.208,379.82,0.10,378.22,0.05
2005,4,2005.292,380.31,0.07,378.50,0.05
2005,5,2005.375,380.43,0.08,378.82,0.05
2005,6,2005.458,379.61,0.06,379.02,0.05
2005,7,2005.542,377.95,0.08,379.11,0.05
2005,8,2005.625,376.73,0.11,379.36,0.05
2005,9,2005.708,376.77,0.07,379.47,0.05
2005,10,2005.792,378.08,0.09,379.64,0.05
2005,11,2005.875,379.54,0.11,379.86,0.05
2005,12,2005.958,380.52,0.10,380.04,0.05
2006,1,2006.042,381.33,0.07,380.31,0.05
2006,2,2006.125,381.95,0.08,380.58,0.05
2006,3,2006.208,382.32,0.10,380.69,0.05
2006,4,2006.292,382.65,0.09,380.82,0.05
2006,5,2006.375,382.61,0.09,380.96,0.05
2006,6,2006.458,381.75,0.06,381.14,0.05
2006,7,2006.542,380.07,0.07,381.27,0.05
2006,8,2006.625,378.49,0.12,381.21,0.05
2006,9,2006.708,378.61,0.09,381.38,0.05
2006,10,2006.792,380.04,0.09,381.62,0.05
2006,11,2006.875,381.41,0.07,381.74,0.05
2006,12,2006.958,382.38,0.06,381.90,0.05
2007,1,2007.042,383.03,0.07,382.00,0.05
2007,2,2007.125,383.54,0.09,382.14,0.05
2007,3,2007.208,384.02,0.10,382.36,0.05
2007,4,2007.292,384.28,0.10,382.45,0.05
2007,5,2007.375,384.12,0.07,382.49,0.05
2007,6,2007.458,383.26,0.05,382.69,0.05
2007,7,2007.542,381.55,0.10,382.81,0.05
2007,8,2007.625,380.29,0.09,383.05,0.05
2007,9,2007.708,380.69,0.08,383.46,0.05
2007,10,2007.792,382.10,0.08,383.65,0.05
2007,11,2007.875,383.45,0.07,383.73,0.05
2007,12,2007.958,384.46,0.07,383.96,0.05
2008,1,2008.042,385.23,0.07,384.20,0.05
2008,2,2008.125,385.75,0.09,384.36,0.05
2008,3,2008.208,386.15,0.09,384.52,0.05
2008,4,2008.292,386.53,0.08,384.73,0.05
2008,5,2008.375,386.48,0.09,384.85,0.05
2008,6,2008.458,385.57,0.06,385.01,0.05
2008,7,2008.542,384.09,0.10,385.41,0.05
2008,8,2008.625,382.77,0.10,385.57,0.05
2008,9,2008.708,382.54,0.06,385.29,0.05
2008,10,2008.792,383.66,0.07,385.15,0.05
2008,11,2008.875,385.18,0.07,385.40,0.05
2008,12,2008.958,386.27,0.07,385.73,0.05
2009,1,2009.042,387.03,0.08,385.97,0.05
2009,2,2009.125,387.48,0.09,386.06,0.05
2009,3,2009.208,387.71,0.09,386.05,0.05
2009,4,2009.292,387.98,0.09,386.18,0.05
2009,5,2009.375,387.95,0.06,386.35,0.04
2009,6,2009.458,386.96,0.05,386.46,0.04
2009,7,2009.542,385.01,0.16,386.42,0.04
2009,8,2009.625,383.63,0.16,386.49,0.04
2009,9,2009.708,383.93,0.09,386.66,0.03
2009,10,2009.792,385.49,0.10,386.92,0.03
2009,11,2009.875,386.94,0.09,387.12,0.04
2009,12,2009.958,387.84,0.08,387.27,0.04
2010,1,2010.042,388.62,0.08,387.60,0.04
2010,2,2010.125,389.33,0.11,387.94,0.05
2010,3,2010.208,389.68,0.10,388.03,0.05
2010,4,2010.292,389.98,0.13,388.17,0.06
2010,5,2010.375,389.95,0.16,388.35,0.06
2010,6,2010.458,389.01,0.13,388.52,0.06
2010,7,2010.542,387.35,0.16,388.74,0.06
2010,8,2010.625,386.23,0.11,389.05,0.06
2010,9,2010.708,386.70,0.10,389.40,0.06
2010,10,2010.792,388.25,0.10,389.68,0.06
2010,11,2010.875,389.62,0.11,389.80,0.06
2010,12,2010.958,390.36,0.09,389.82,0.06
2011,1,2011.042,390.93,0.08,389.88,0.06
2011,2,2011.125,391.35,0.08,389.93,0.06
2011,3,2011.208,391.67,0.09,390.03,0.06
2011,4,2011.292,392.05,0.10,390.24,0.06
2011,5,2011.375,392.07,0.10,390.45,0.06
2011,6,2011.458,391.13,0.08,390.63,0.06
2011,7,2011.542,389.19,0.19,390.56,0.06
2011,8,2011.625,387.86,0.19,390.65,0.06
2011,9,2011.708,388.26,0.13,390.98,0.06
2011,10,2011.792,389.83,0.13,391.30,0.06
2011,11,2011.875,391.21,0.11,391.43,0.06
2011,12,2011.958,392.04,0.10,391.52,0.06
2012,1,2012.042,392.61,0.10,391.55,0.06
2012,2,2012.125,393.20,0.16,391.78,0.06
2012,3,2012.208,393.73,0.15,392.08,0.07
2012,4,2012.292,393.99,0.11,392.20,0.07
2012,5,2012.375,393.88,0.10,392.27,0.07
2012,6,2012.458,392.84,0.07,392.36,0.07
2012,7,2012.542,391.00,0.12,392.43,0.07
2012,8,2012.625,389.89,0.16,392.73,0.07
2012,9,2012.708,390.55,0.11,393.27,0.07
2012,10,2012.792,392.16,0.13,393.59,0.07
2012,11,2012.875,393.56,0.10,393.73,0.07
2012,12,2012.958,394.39,0.08,393.82,0.06
2013,1,2013.042,395.07,0.09,394.08,0.06
2013,2,2013.125,395.69,0.15,394.33,0.06
2013,3,2013.208,396.29,0.12,394.66,0.06
2013,4,2013.292,396.74,0.09,394.94,0.06
2013,5,2013.375,396.75,0.11,395.13,0.06
2013,6,2013.458,395.95,0.08,395.44,0.06
2013,7,2013.542,394.46,0.21,395.83,0.06
2013,8,2013.625,393.23,0.16,396.01,0.06
2013,9,2013.708,393.21,0.10,395.88,0.05
2013,10,2013.792,394.50,0.11,395.93,0.05
2013,11,2013.875,395.96,0.09,396.15,0.05
2013,12,2013.958,396.87,0.08,396.34,0.05
2014,1,2014.042,397.51,0.08,396.45,0.05
2014,2,2014.125,397.97,0.08,396.53,0.05
2014,3,2014.208,398.27,0.07,396.60,0.05
2014,4,2014.292,398.63,0.06,396.77,0.05
2014,5,2014.375,398.69,0.06,397.03,0.05
2014,6,2014.458,397.73,0.09,397.16,0.05
2014,7,2014.542,396.13,0.14,397.45,0.05
2014,8,2014.625,395.02,0.14,397.84,0.05
2014,9,2014.708,395.12,0.10,397.89,0.05
2014,10,2014.792,396.38,0.10,397.91,0.05
2014,11,2014.875,397.86,0.08,398.16,0.05
2014,12,2014.958,398.84,0.08,398.35,0.05
2015,1,2015.042,399.56,0.07,398.52,0.05
2015,2,2015.125,400.12,0.07,398.68,0.04
2015,3,2015.208,400.57,0.07,398.86,0.04
2015,4,2015.292,400.96,0.07,399.08,0.04
2015,5,2015.375,400.91,0.10,399.26,0.05
2015,6,2015.458,400.06,0.10,399.50,0.05
2015,7,2015.542,398.37,0.10,399.66,0.05
2015,8,2015.625,397.06,0.14,399.85,0.05
2015,9,2015.708,397.34,0.08,400.14,0.05
2015,10,2015.792,398.80,0.12,400.37,0.05
2015,11,2015.875,400.37,0.12,400.68,0.06
2015,12,2015.958,401.66,0.11,401.18,0.06
2016,1,2016.042,402.64,0.08,401.62,0.06
2016,2,2016.125,403.27,0.08,401.88,0.06
2016,3,2016.208,403.86,0.07,402.20,0.06
2016,4,2016.292,404.39,0.07,402.53,0.07
2016,5,2016.375,404.45,0.10,402.80,0.07
2016,6,2016.458,403.66,0.10,403.06,0.07
2016,7,2016.542,402.11,0.09,403.33,0.07
2016,8,2016.625,400.80,0.10,403.54,0.08
2016,9,2016.708,400.99,0.11,403.79,0.08
2016,10,2016.792,402.42,0.10,404.02,0.08
2016,11,2016.875,403.78,0.10,404.11,0.08
2016,12,2016.958,404.69,0.09,404.21,0.08
2017,1,2017.042,405.32,0.08,404.24,0.08
2017,2,2017.125,405.91,0.10,404.47,0.08
2017,3,2017.208,406.32,0.10,404.63,0.07
2017,4,2017.292,406.61,0.11,404.73,0.07
2017,5,2017.375,406.65,0.16,405.00,0.07
2017,6,2017.458,405.86,0.13,405.28,0.07
2017,7,2017.542,404.11,0.08,405.38,0.07
2017,8,2017.625,402.57,0.14,405.39,0.07
2017,9,2017.708,402.66,0.14,405.50,0.07
2017,10,2017.792,404.16,0.09,405.74,0.07
